kitemmodels 5.97.0-1
kitemviews 5.97.0-1
kiten 22.08.0-1
kitinerary 22.08.0-1
kitty 0.26.1-1
kitty-shell-integration 0.26.1-1
kitty-terminfo 0.26.1-1
kjobwidgets 5.97.0-1
kjs 5.97.0-1
kjsembed 5.97.0-1
kjumpingcube 22.08.0-1
kldap 22.08.0-1
kleopatra 22.08.0-1
klettres 22.08.0-1
klickety 22.08.0-1
klines 22.08.0-1
kmag 22.08.0-1
kmahjongg 22.08.0-1
kmail 22.08.0-1
kmail-account-wizard 22.08.0-1
kmailtransport 22.08.0-1
kmbox 22.08.0-1
kmenuedit 5.25.4-1
kmime 22.08.0-1
kmines 22.08.0-1
kmix 22.08.0-1
kmod 30-1
kmousetool 22.08.0-1
kmouth 22.08.0-1
kmplot 22.08.0-1
knavalbattle 22.08.0-1
knetwalk 22.08.0-1
knewstuff 5.97.0-1
knights 22.08.0-1
knotes 22.08.0-1
knotifications 5.97.0-1
knotifyconfig 5.97.0-1
kolf 22.08.0-1
kollision 22.08.0-1
kolourpaint 22.08.0-1
kompare 22.08.0-1
konqueror 22.08.0-1
konquest 22.08.0-1
konsole 22.08.0-1
kontact 22.08.0-1
kontactinterface 22.08.0-1
kontrast 22.08.0-1
konversation 22.08.0-1
kopeninghours 22.08.0-1
kopete 22.08.0-1
korganizer 22.08.0-1
kosmindoormap 22.08.0-1
kpackage 5.97.0-1
kparts 5.97.0-1
kpat 22.08.0-1
kpeople 5.97.0-1
kpeoplevcard 0.1-1
kpimtextedit 22.08.0-1
kpkpass 22.08.0-1
kplotting 5.97.0-1
kpmcore 22.08.0-1
kpty 5.97.0-1
kpublictransport 22.08.0-1
kqtquickcharts 22.08.0-1
kquickcharts 5.97.0-1
krb5 1.19.3-3
krdc 22.08.0-1
kreversi 22.08.0-1
krfb 22.08.0-1
kross 5.97.0-1
kross-interpreters 21.08.3-1
kruler 22.08.0-1
krunner 5.97.0-1
krusader 2.7.2-4
ksanecore 22.08.0-1
kscreen 5.25.4-1
kscreenlocker 5.25.4-1
kservice 5.97.0-1
kshisen 22.08.0-1
